"date","close","volume","open","high","low"
"2015/08/24","127.1900","9425508.0000","123.6400","135.5000","115.1400"
"2015/08/21","131.7100","7927571.0000","134.8800","135.0919","131.4600"
"2015/08/20","137.0200","6582785.0000","141.6200","141.9000","136.9000"
"2015/08/19","142.7200","2966398.0000","143.4200","144.4800","142.3200"
"2015/08/18","144.6000","1953119.0000","144.3900","145.2140","143.8200"
"2015/08/17","144.4400","3740865.0000","144.6000","144.8600","142.9300"
"2015/08/14","145.0900","2924042.0000","144.6100","145.4700","143.7600"
"2015/08/13","144.8100","5121018.0000","142.0300","145.4500","141.5300"
"2015/08/12","142.4300","4394720.0000","142.5500","143.0100","139.8600"
"2015/08/11","144.0500","2816379.0000","144.1400","144.9300","143.2800"
"2015/08/10","145.8600","3425252.0000","143.7900","146.7700","143.7800"
"2015/08/07","142.4200","2953034.0000","143.2200","143.8400","141.7000"
"2015/08/06","143.8200","2448757.0000","144.7000","145.2500","143.4200"
"2015/08/05","144.9500","2917496.0000","143.9000","145.6000","143.7700"
"2015/08/04","143.5400","1964838.0000","143.5500","144.8700","143.0401"
"2015/08/03","143.6900","3074862.0000","144.4400","144.7500","142.5900"
"2015/07/31","144.1700","3157987.0000","143.7600","144.9200","143.2900"
"2015/07/30","143.0100","2639652.0000","143.3500","143.9200","142.2056"
"2015/07/29","144.1400","3260393.0000","142.4800","144.6100","142.3700"
"2015/07/28","141.8100","4133897.0000","141.6100","142.1700","139.5100"
"2015/07/27","141.0300","3516690.0000","143.2200","143.3500","140.8000"
"2015/07/24","144.0600","2451415.0000","145.8100","146.4700","143.9800"
"2015/07/23","146.1100","4056025.0000","147.0000","147.9500","145.7900"
"2015/07/22","146.4700","6218361.0000","148.9000","149.1800","145.1100"
"2015/07/21","145.0000","4441715.0000","146.5900","146.5900","144.2200"
"2015/07/20","146.7200","3016207.0000","147.1100","147.2000","145.9101"
"2015/07/17","146.8400","3124082.0000","147.2500","147.4399","146.0201"
"2015/07/16","148.4900","2506569.0000","147.7900","148.7999","147.7700"
"2015/07/15","146.8900","2653711.0000","147.7500","147.7500","146.4800"
"2015/07/14","147.7500","3369003.0000","146.7600","148.3000","146.4450"
"2015/07/13","146.6200","2194190.0000","145.9600","146.7500","145.6001"
"2015/07/10","144.4800","2189841.0000","144.1400","145.1900","143.8660"
"2015/07/09","142.8000","2486779.0000","143.8900","144.2000","142.7300"
"2015/07/08","141.9200","3386130.0000","142.5000","143.1500","141.5200"
"2015/07/07","143.1500","3691474.0000","140.8000","143.4400","140.1400"
"2015/07/06","140.5200","2090971.0000","139.0200","140.7300","139.0000"
"2015/07/02","140.2100","2113702.0000","141.2900","141.5200","139.8800"
"2015/07/01","140.7300","3260688.0000","140.4800","141.1400","140.0200"
"2015/06/30","138.7200","3431226.0000","140.0600","140.0600","138.4400"
"2015/06/29","138.7300","3705779.0000","140.9600","141.3200","138.5800"
"2015/06/26","142.4800","3100540.0000","143.0300","143.0400","141.8900"
"2015/06/25","142.4500","2147836.0000","143.2700","143.7600","142.3400"
"2015/06/24","143.0000","3982116.0000","143.7600","144.8000","142.5100"
"2015/06/23","144.4300","2852681.0000","146.3300","146.4500","143.8000"
"2015/06/22","145.7000","2084081.0000","146.0700","146.2100","145.0900"
"2015/06/19","145.1300","4777482.0000","145.1900","146.1000","144.9500"
"2015/06/18","145.3800","3720800.0000","143.9100","146.5300","143.9100"
"2015/06/17","143.4300","2773047.0000","142.8700","144.0000","141.9000"
"2015/06/16","142.3400","2447775.0000","141.4200","143.5800","141.4200"
"2015/06/15","142.2900","2630428.0000","142.0400","142.5900","141.2777"
"2015/06/12","142.8000","2392719.0000","142.6200","142.8600","141.0900"
"2015/06/11","142.9600","2914825.0000","142.0100","143.9800","141.7500"
"2015/06/10","141.6200","2778409.0000","140.6800","142.6000","140.2900"
"2015/06/09","140.1000","2646069.0000","140.5000","140.9900","139.9000"
"2015/06/08","140.6400","2756395.0000","140.2400","141.3500","140.2000"
"2015/06/05","140.7300","3213452.0000","141.0400","141.3689","140.0500"
"2015/06/04","141.1900","3238877.0000","143.2200","143.2300","140.9500"
"2015/06/03","143.8100","3755468.0000","143.7800","145.0590","142.8900"
"2015/06/02","143.2500","4983317.0000","141.4400","144.4600","140.6300"
"2015/06/01","141.2500","3894145.0000","141.4500","142.0500","140.2700"
"2015/05/29","140.5200","6179898.0000","142.2600","142.2600","140.3200"
"2015/05/28","142.3300","3099498.0000","142.5100","145.2900","141.5800"
"2015/05/27","143.0000","2836696.0000","143.4200","143.7497","142.5800"
"2015/05/26","142.8000","3464775.0000","144.3400","144.4300","142.1600"
"2015/05/22","144.8100","3875750.0000","147.2600","147.2700","144.8000"
"2015/05/21","147.3500","2676417.0000","146.5600","147.7100","146.1000"
"2015/05/20","146.4200","2100464.0000","147.1400","147.3400","146.1000"
"2015/05/19","147.0500","2363097.0000","147.1800","147.7700","146.7300"
"2015/05/18","146.7100","2153183.0000","146.8800","147.2400","146.3000"
"2015/05/15","146.8800","3368655.0000","148.0500","148.3000","146.3400"
"2015/05/14","147.9600","3495082.0000","146.8800","148.2500","146.6501"
"2015/05/13","145.6200","2679687.0000","145.4100","146.5290","145.1006"
"2015/05/12","145.4300","3542650.0000","144.9400","146.0800","144.0100"
"2015/05/11","145.8900","3963424.0000","145.5500","146.7900","145.1300"
"2015/05/08","145.4600","7067583.0000","143.0000","145.9400","142.9800"
"2015/05/07","141.4900","4866116.0000","140.5600","142.1800","140.4800"
"2015/05/06","141.0400","5309462.0000","143.0100","143.1499","140.4300"
"2015/05/05","142.9100","3668671.0000","143.7600","144.6950","142.2700"
"2015/05/04","144.0200","8972057.0000","143.8500","144.7900","143.1800"
"2015/05/01","144.6700","3551406.0000","144.4100","145.0700","143.8400"
"2015/04/30","143.3400","4909376.0000","145.2500","145.9400","142.7500"
"2015/04/29","146.1500","4752741.0000","147.0700","147.4548","145.9000"
"2015/04/28","147.5100","4352702.0000","147.9000","148.3700","146.0100"
"2015/04/27","147.8000","4599289.0000","148.5900","149.0000","147.7100"
"2015/04/24","148.4000","4888930.0000","149.5400","149.8600","148.0200"
"2015/04/23","149.8700","4076018.0000","150.8300","150.8300","149.7300"
"2015/04/22","151.1900","8468824.0000","152.3600","153.0000","148.8500"
"2015/04/21","153.3300","3765549.0000","153.5100","154.0900","152.0000"
"2015/04/20","152.6700","3168948.0000","151.0600","153.5500","151.0100"
"2015/04/17","149.6000","4660333.0000","150.8800","151.4300","149.4400"
"2015/04/16","151.9700","2555219.0000","151.6600","152.5300","151.0500"
"2015/04/15","152.4300","3683454.0000","154.3700","154.3700","152.2100"
"2015/04/14","153.2100","2845791.0000","152.9300","153.5400","151.5900"
"2015/04/13","153.2400","3033722.0000","153.7900","155.5000","152.9610"
"2015/04/10","154.3800","3182905.0000","153.5500","154.9633","153.2500"
"2015/04/09","153.4200","3966515.0000","152.6200","153.6700","151.6264"
"2015/04/08","153.3600","2761326.0000","152.1900","153.5000","152.1900"
"2015/04/07","152.3200","4297283.0000","151.2700","153.5000","151.1400"
"2015/04/06","150.9300","3367184.0000","148.1500","151.4500","148.0000"
"2015/04/02","149.2800","2933994.0000","149.1400","150.5000","148.3120"
"2015/04/01","148.6400","4162571.0000","149.9700","150.0200","146.8200"
"2015/03/31","150.0800","2974599.0000","152.2300","152.2500","149.9400"
"2015/03/30","152.7000","3737157.0000","150.0800","153.1700","149.9800"
"2015/03/27","148.8500","2599302.0000","148.5900","149.3100","147.4900"
"2015/03/26","148.1700","3626516.0000","147.8300","148.8499","145.9600"
"2015/03/25","148.2300","3747320.0000","151.4000","152.0400","148.1300"
"2015/03/24","151.6500","3314779.0000","151.9600","152.6200","151.3500"
"2015/03/23","152.8100","3029403.0000","154.9800","154.9800","152.8100"
"2015/03/20","154.5000","4462518.0000","155.0400","155.4900","154.4800"
"2015/03/19","154.1100","2535599.0000","154.9100","155.3300","153.6600"
"2015/03/18","155.7300","4053584.0000","154.0400","155.9900","152.1100"
"2015/03/17","154.5100","2925179.0000","152.8800","155.0000","152.7300"
"2015/03/16","153.6700","2742636.0000","152.3900","154.1900","152.2700"
"2015/03/13","151.5700","3567010.0000","151.8900","152.3900","149.7900"
"2015/03/12","152.0400","2962410.0000","151.2800","152.9200","151.2800"
"2015/03/11","151.1700","3390098.0000","152.5100","152.6876","151.1700"
"2015/03/10","152.4200","3835249.0000","153.3000","154.1300","152.4200"
"2015/03/09","154.7500","3427554.0000","153.3000","155.6100","153.1500"
"2015/03/06","153.1200","3556016.0000","153.9200","155.0300","152.8100"
"2015/03/05","154.4700","3327290.0000","154.8600","155.9800","154.3100"
"2015/03/04","154.3500","4476113.0000","154.6200","155.2200","154.0000"
"2015/03/03","155.5700","8654418.0000","154.7100","156.9100","154.1700"
"2015/03/02","153.8000","4618426.0000","150.7500","154.1500","150.7500"
"2015/02/27","150.8500","4328416.0000","151.0000","151.8900","150.4500"
"2015/02/26","151.7300","5149021.0000","152.3100","152.3800","150.8100"
"2015/02/25","153.0100","4797048.0000","154.3050","154.7400","152.1400"
"2015/02/24","154.3800","4391044.0000","153.5000","154.7800","153.2100"
"2015/02/23","154.7400","8616562.0000","155.0000","155.9200","153.3600"
"2015/02/20","158.3100","9351022.0000","153.8000","158.8300","153.8000"
"2015/02/19","153.7500","4382094.0000","151.0500","154.2400","151.0000"
"2015/02/18","151.1700","3722107.0000","149.7000","151.6200","149.3700"
"2015/02/17","149.9200","3622299.0000","148.7200","149.9600","148.5200"
"2015/02/13","149.7300","3418466.0000","147.9800","149.8401","147.6400"
"2015/02/12","148.0900","2998761.0000","148.2600","148.5700","147.6800"
"2015/02/11","147.9200","3268562.0000","147.5100","148.3800","147.0900"
"2015/02/10","148.0400","3949492.0000","148.2000","148.7100","147.5030"
"2015/02/09","147.5800","4203009.0000","146.1600","148.1600","145.6300"
"2015/02/06","148.0000","4396703.0000","148.6200","148.8900","147.7000"
"2015/02/05","148.6000","4252365.0000","147.2600","148.8700","146.4600"
"2015/02/04","147.2200","4765514.0000","145.9700","148.3900","145.9300"
"2015/02/03","147.3400","5978090.0000","146.3700","148.0000","146.1800"
"2015/02/02","146.2600","6790894.0000","143.7200","146.5900","143.0500"
"2015/01/30","145.3700","11264180.0000","146.2200","146.8500","144.3700"
"2015/01/29","147.7800","15152040.0000","139.6900","148.2500","139.6300"
"2015/01/28","139.6400","14329160.0000","136.3000","141.8850","135.9200"
"2015/01/27","132.4800","5237343.0000","132.4000","132.9900","130.7400"
"2015/01/26","134.0700","3900382.0000","135.0000","135.2500","133.5300"
"2015/01/23","134.6200","3824659.0000","135.5700","135.7800","134.6000"
"2015/01/22","135.6400","4950620.0000","133.3800","136.2100","133.0500"
"2015/01/21","132.4100","2898521.0000","130.8700","132.8700","130.5701"
"2015/01/20","131.2200","3143041.0000","131.4500","132.0000","129.4501"
"2015/01/16","130.7800","4422261.0000","129.7500","131.0200","129.1100"
"2015/01/15","130.1400","3896324.0000","130.2500","131.8300","129.7000"
"2015/01/14","130.3800","3552971.0000","129.0300","131.2900","128.9500"
"2015/01/13","131.1700","3440032.0000","132.0000","133.9100","130.1700"
"2015/01/12","130.8700","3545166.0000","132.2400","132.2600","129.9500"
"2015/01/09","131.5400","3051012.0000","131.5900","132.2600","130.9300"
