default,nw.ta,inc.na,cashp,pat.nw,contl.nw,fa.ta,inv.nw,nw.ce,debt.equity,current.r,debtr.turn,goods.turn,debt.ta
1,0.32736014,0.19493007,-13.8,-0.109,0.0841,0.41215035,0.297730307,0.604032258,0.66,0.67,1.95,12.22,0.214597902
1,0.143835616,0.123287671,-0.1,0.0792,0.0533,0.98630137,3.976190476,0.14893617,5.71,1.23,6.32,17.27,0.821917808
1,0.094617564,0.0101983,0.6,-0.0807,0.4431,0.451558074,0.5,0.170582227,4.86,0.52,1.312,17.27,0.460056657
1,0.060295791,3.598407281,-4.1,-0.62036,0.0533,0.42662116,0.018867925,0.073002755,10.75,0.96,30.37,24.26,0.765642776
1,0.114391144,0.098892989,-6.5,-0.5748,0.0533,0.582287823,0.04516129,0.122529644,7.16,0.93,1.53,2.192,0.819188192
1,0.161205767,0.758846658,-4.5,-0.3816,0.0533,0.074705111,0.678861789,0.199029126,4.02,2.12,1.312,5.2,0.648754915
1,0.128654971,0.444444444,-2.1,-0.3009,0.0533,0.726120858,0.632575758,0.150341686,5.65,1.24,4.38,3.93,0.727095517
1,0.454887218,16.72556391,18.85,0.0792,0.0533,0.921052632,0.016528926,0.5,1,1.23,6.32,17.27,0.454887218
1,0.032452325,1.666443627,33.7,0.60716,2.17464,0.602208096,0.860824742,0.043168669,10.75,0.7,10.11,305.334,0.461692874
1,0.292725679,2.121822962,-18,-0.5687,0.3204,0.10254163,0.002994012,1,0.79,1.16,29.12,18.12,0.869412796
1,0.057104317,1.932553957,-6.8,0.0792,0.252,0.095773381,0.657480315,0.130792997,6.65,1.26,6.32,17.27,0.255845324
1,0.021176471,0.265882353,-2.5,-0.62036,2.17464,0.844705882,4.638888889,0.135338346,10.75,0.58,9.18,7.98,0.151764706
1,0.00982801,1.821867322,18.85,0.0792,0.0533,0.382882883,3.479166667,0.324324324,2.08,0.31,6.32,17.27,0.02047502
1,0.07826087,0.07826087,-2.4,-0.62036,0.2857,4.065217391,4.222222222,0.486486486,3.71,0.86,6.32,7.56,0.113043478
1,0.133079848,0.897338403,-6,-0.62036,0.0286,0.796577947,0.157142857,0.179948586,4.56,0.31,65.526,10.13,0.606463878
1,0.018382353,0.625,10.9,0.2553,0.8,0.755514706,0.9,0.033222591,10.75,0.31,11.34,17.27,0.534926471
1,0.81595092,0.110429448,-2.1,-0.1399,0.0533,0.098159509,0.627819549,1,0.79,0.31,6.32,17.27,6.085889571
1,0.114369501,0.900293255,-4.9,-0.5636,0.3333,0.543499511,0.713675214,0.153745072,5.5,0.4,11.5,115.88,0.629521017
1,0.035087719,1.09122807,0.7,-0.4906,2.17464,0.378947368,0.05,0.071428571,10.75,0.8,3.34,36.04,0.412280702
1,0.055369128,0.030201342,-18,-0.62036,0.6364,0.026845638,13.45454545,0.125,7,0.31,1.312,2.192,0.387583893
1,0.734042553,7.888297872,-0.1,-0.0032,0.0533,0.964539007,0.201690821,0.960556845,0.04,1.23,6.32,17.27,0.030141844
1,0.007356123,1.118779749,1.2,-0.62036,2.17464,0.232366941,2.455882353,0.017391304,10.75,1.09,11.13,64.87,0.415620943
1,0.275707384,0.36783989,7.4,0.0178,0.3492,0.373360939,0.104505632,0.351672535,1.84,0.63,3.28,13.83,0.350586611
1,0.139534884,2.403100775,-3.2,-0.62036,0.0533,0.124031008,4.638888889,0.264705882,4.23,0.92,61.8,5.12,0.426356589
1,0.104783599,1.741457859,-9.1,-0.56,0.0533,0.518223235,0.907608696,0.141104294,6.09,0.95,9.1,10.55,0.637813212
1,0.12244898,0.12244898,-5.1,-0.62036,0.0533,0.346938776,4.638888889,0.204545455,10.75,0.85,1.312,3.04,0.591836735
1,0.025824964,3.239598278,29.4,0.0792,0.0533,0.796269727,4.638888889,0.486486486,0.79,0.31,6.32,17.27,1.423242468
1,0.047493404,1.150395778,4.2,-0.62036,1.8333,0.799472296,4.638888889,0.09375,10.75,0.31,65.526,17.27,0.490765172
1,0.035573123,0.33201581,-2.7,0.0792,0.0533,0.685770751,4.638888889,0.037735849,10.75,1.27,6.32,17.27,0.918972332
1,0.049315068,0.265753425,1,-0.62036,0.0533,0.416438356,4.638888889,0.054216867,10.75,1.23,7.22,17.27,0.895890411
1,0.311517901,0.617041957,22.2,0.0005,0.0109,0.540903936,0.043421737,0.381320642,1.62,1.35,3.27,3.03,0.505426859
1,0.151376147,0.135321101,-3.6,0.0792,0.0606,0.832568807,1.265151515,0.155660377,5.42,2.71,6.32,17.27,0.821100917
1,0.457831325,53.60240964,-0.1,-0.0263,0.0533,0.192771084,2.197368421,0.584615385,0.71,0.31,6.32,17.27,0.325301205
1,0.348484848,1.924242424,0.4,0.1364,0.3043,0.636363636,0.043478261,0.621621622,0.17,0.31,6.32,13.02,0.121212121
1,0.076595745,18.93191489,18.85,0.0792,0.0533,3.978723404,4.638888889,0.076595745,10.75,1.23,6.32,17.27,0.995744681
1,0.102564103,1.416890802,17.8,0.4091,2.17464,0.486641564,0.762237762,0.211148025,3.74,0.75,6.59,6.48,0.320423167
1,0.095830285,0.566203365,-0.9,-0.5443,0.5496,0.575713241,3.175572519,0.770588235,0.3,0.31,3.16,2.23,0.028529627
1,0.369047619,0.952380952,0.9,0.0792,0.0533,0.670634921,0.897849462,0.444976077,1.25,0.71,6.32,17.27,0.46031746
1,0.057142857,0.057142857,-0.5,0.0792,0.0533,0.622222222,4.638888889,0.081447964,10.75,0.31,6.32,17.27,0.666666667
1,0.169129721,0.683087028,-0.1,-0.0855,0.0388,0.807881773,0.116504854,0.362676056,1.76,0.31,21.21,7.17,0.297208539
