,date,close,curr_ratio,tot_debt_tot_equity,oper_profit_margin,asset_turn,ret_equity,sentiment,close_delta,close_direction,Stock_name
1070,2013-08-07,65.91,1.2525,0.3268,25.4275,0.1437,4.4307,3,-1.7002237136465332,0,DISNEY
1069,2013-08-08,65.75,1.2525,0.3268,25.4275,0.1437,4.4307,3,-0.24275527234106598,1,DISNEY
1068,2013-08-09,64.73,1.2525,0.3268,25.4275,0.1437,4.4307,3,-1.5513307984790814,0,DISNEY
1067,2013-08-12,63.93,1.2525,0.3268,25.4275,0.1437,4.4307,3,-1.2359029816159497,0,DISNEY
1066,2013-08-13,63.98,1.2525,0.3268,25.4275,0.1437,4.4307,3,0.07821054278116245,1,DISNEY
1065,2013-08-14,63.96,1.2525,0.3268,25.4275,0.1437,4.4307,3,-0.031259768677705566,1,DISNEY
1064,2013-08-15,62.38,1.2525,0.3268,25.4275,0.1437,4.4307,3,-2.470293933708565,0,DISNEY
1063,2013-08-16,62.17,1.2525,0.3268,25.4275,0.1437,4.4307,3,-0.3366463610131466,1,DISNEY
1062,2013-08-19,61.83,1.2525,0.3268,25.4275,0.1437,4.4307,3,-0.5468875663503352,1,DISNEY
1061,2013-08-20,61.88,1.2525,0.3268,25.4275,0.1437,4.4307,3,0.08086689309397423,1,DISNEY
1060,2013-08-21,61.14,1.2525,0.3268,25.4275,0.1437,4.4307,3,-1.1958629605688462,0,DISNEY
1059,2013-08-22,61.64,1.2525,0.3268,25.4275,0.1437,4.4307,3,0.8177952240758913,1,DISNEY
1058,2013-08-23,61.73,1.2525,0.3268,25.4275,0.1437,4.4307,3,0.14600908500972795,1,DISNEY
1057,2013-08-26,61.35,1.2525,0.3268,25.4275,0.1437,4.4307,3,-0.6155839948161274,1,DISNEY
1056,2013-08-27,60.69,1.2525,0.3268,25.4275,0.1437,4.4307,3,-1.0757946210269007,0,DISNEY
1055,2013-08-28,60.81,1.2525,0.3268,25.4275,0.1437,4.4307,3,0.1977261492832502,1,DISNEY
1054,2013-08-29,61.08,1.2525,0.3268,25.4275,0.1437,4.4307,3,0.4440059200789278,1,DISNEY
1053,2013-08-30,60.83,1.2525,0.3268,25.4275,0.1437,4.4307,3,-0.4092992796332679,1,DISNEY
1052,2013-09-03,60.93,1.2525,0.3268,25.4275,0.1437,4.4307,3,0.16439256945586295,1,DISNEY
1051,2013-09-04,61.11,1.2525,0.3268,25.4275,0.1437,4.4307,3,0.2954209748892167,1,DISNEY
1050,2013-09-05,61.3,1.2525,0.3268,25.4275,0.1437,4.4307,3,0.3109147439044309,1,DISNEY
1049,2013-09-06,61.39,1.2525,0.3268,25.4275,0.1437,4.4307,4,0.14681892332790117,1,DISNEY
1048,2013-09-09,61.59,1.2525,0.3268,25.4275,0.1437,4.4307,3,0.3257859586251879,1,DISNEY
1047,2013-09-10,62.83,1.2525,0.3268,25.4275,0.1437,4.4307,3,2.013313849650909,2,DISNEY
1046,2013-09-11,63.94,1.2525,0.3268,25.4275,0.1437,4.4307,3,1.766671971987903,2,DISNEY
1045,2013-09-12,65.49,1.2525,0.3268,25.4275,0.1437,4.4307,3,2.4241476384110063,2,DISNEY
1044,2013-09-13,66.69,1.2525,0.3268,25.4275,0.1437,4.4307,3,1.8323408153916674,2,DISNEY
1043,2013-09-16,66.94,1.2525,0.3268,25.4275,0.1437,4.4307,3,0.3748687959214275,1,DISNEY
1042,2013-09-17,66.98,1.2525,0.3268,25.4275,0.1437,4.4307,3,0.05975500448163468,1,DISNEY
1041,2013-09-18,67.11,1.2525,0.3268,25.4275,0.1437,4.4307,3,0.19408778739921684,1,DISNEY
1040,2013-09-19,65.72,1.2525,0.3268,25.4275,0.1437,4.4307,3,-2.071226344807034,0,DISNEY
1039,2013-09-20,65.01,1.2525,0.3268,25.4275,0.1437,4.4307,3,-1.0803408399269534,0,DISNEY
1038,2013-09-23,64.75,1.2525,0.3268,25.4275,0.1437,4.4307,3,-0.3999384710044687,1,DISNEY
1037,2013-09-24,64.32,1.2525,0.3268,25.4275,0.1437,4.4307,3,-0.6640926640926746,1,DISNEY
1036,2013-09-25,64.45,1.2525,0.3268,25.4275,0.1437,4.4307,3,0.20211442786071154,1,DISNEY
1035,2013-09-26,65.24,1.2525,0.3268,25.4275,0.1437,4.4307,3,1.2257564003103056,2,DISNEY
1034,2013-09-27,65.19,1.2525,0.3268,25.4275,0.1437,4.4307,3,-0.07664009809932122,1,DISNEY
1033,2013-09-30,64.49,1.2525,0.3268,25.4275,0.1437,4.4307,3,-1.0737843227488921,0,DISNEY
1032,2013-10-01,64.83,1.2055,0.2967,17.8596,0.1424,3.2046,3,0.5272135214762032,1,DISNEY
1031,2013-10-02,64.88,1.2055,0.2967,17.8596,0.1424,3.2046,3,0.07712478790682888,1,DISNEY
1030,2013-10-03,64.02,1.2055,0.2967,17.8596,0.1424,3.2046,3,-1.3255240443896417,0,DISNEY
1029,2013-10-04,65.3,1.2055,0.2967,17.8596,0.1424,3.2046,2,1.999375195251486,2,DISNEY
1028,2013-10-07,64.59,1.2055,0.2967,17.8596,0.1424,3.2046,3,-1.0872894333843701,0,DISNEY
1027,2013-10-08,64.0,1.2055,0.2967,17.8596,0.1424,3.2046,3,-0.9134540950611602,1,DISNEY
1026,2013-10-09,63.59,1.2055,0.2967,17.8596,0.1424,3.2046,3,-0.6406249999999947,1,DISNEY
