m_ticker,ticker,comp_name,comp_name_2,exchange,currency_code,per_end_date,per_type,per_code,per_fisc_year,per_fisc_qtr,per_cal_year,per_cal_qtr,form_7_type,curr_ratio,non_perform_asset_tot_loan,loan_loss_reserve,lterm_debt_cap,tot_debt_tot_equity,gross_margin,oper_profit_margin,ebit_margin,ebitda_margin,pretax_profit_margin,profit_margin,free_cash_flow,loss_ratio,exp_ratio,comb_ratio,asset_turn,invty_turn,rcv_turn,day_sale_rcv,ret_equity,ret_tang_equity,ret_asset,ret_invst,free_cash_flow_per_share,book_val_per_share,oper_cash_flow_per_share
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,31-12-2014,Q,,2015,1,2014,4,7,1.133,,,0.2086,0.2952,39.8678,32.5018,32.5018,,32.7297,24.1612,30505,,,,0.2848,19.6487,2.4886,36.1646,14.6147,15.765,6.8822,11.5663,5.1863,21.167,5.7333
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,31-03-2015,Q,,2015,2,2015,1,7,1.156,,,0.237,0.3401,40.7792,31.5084,31.5084,,32.0014,23.3908,47217,,,,0.2221,14.3381,3.1937,28.1807,10.5181,11.2855,5.195,8.0253,8.0922,22.388,9.0496
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,30-06-2015,Q,,2015,3,2015,2,7,1.0868,,,0.2739,0.433,39.6754,28.3903,28.3903,,29.1765,21.524,60162,,,,0.1816,14.6543,2.4918,36.1179,8.4956,9.137,3.9088,6.1683,10.4211,22.0277,11.7426
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,30-09-2015,A,,2015,4,2015,3,7,1.1088,,,0.3088,0.539,40.0599,30.4773,30.4773,35.2938,31.0271,22.8458,70019,,,,0.805,59.6377,7.7024,47.3876,44.7355,48.3878,18.3899,30.9201,12.0867,21.3946,14.0281
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,31-12-2015,Q,,2016,1,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,31-03-2016,Q,,2016,2,2016,1,7,1.2831,,,0.3472,0.6122,39.4031,27.6658,27.6658,,27.9724,20.8003,33116,,,,0.1656,13.431,2.5503,35.2901,8.0609,8.6648,3.4447,5.2624,5.9767,23.8128,7.0501
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,30-06-2016,Q,,2016,3,2016,2,7,1.3116,,,0.3527,0.6712,38.0235,23.8562,23.8562,,24.7155,18.405,40941,,,,0.1386,14.3375,2.2245,40.4594,6.1608,6.6195,2.551,3.9881,7.4808,23.4639,9.0809
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,30-09-2016,A,,2016,4,2016,3,7,1.3527,,,0.3703,0.6786,39.076,27.8354,27.8354,32.707,28.4605,21.1868,53090,,,,0.6703,61.621,7.3599,49.5928,35.6237,38.1906,14.2024,22.4312,9.6522,24.0339,11.9674
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,31-12-2016,Q,,2017,1,2016,4,7,1.2282,,,0.3572,0.6613,38.5139,29.8133,29.8133,,30.8611,22.8344,23722,,,,0.2366,17.7636,2.8006,32.1365,13.5139,14.4144,5.4,,,,
AAPL,AAPL,APPLE INC,Apple Inc.,NSDQ,USD,31-03-2017,Q,,2017,2,2017,1,7,1.3906,,,0.3867,0.7348,38.9273,26.6504,26.6504,,27.7601,20.8504,33270,,,,0.1581,11.1014,2.5663,35.0703,8.2256,8.7537,3.2968,5.045,6.3231,25.7562,7.5221
