m_ticker,ticker,comp_name,comp_name_2,exchange,currency_code,per_end_date,per_type,per_code,per_fisc_year,per_fisc_qtr,per_cal_year,per_cal_qtr,form_7_type,curr_ratio,non_perform_asset_tot_loan,loan_loss_reserve,lterm_debt_cap,tot_debt_tot_equity,gross_margin,oper_profit_margin,ebit_margin,ebitda_margin,pretax_profit_margin,profit_margin,free_cash_flow,loss_ratio,exp_ratio,comb_ratio,asset_turn,invty_turn,rcv_turn,day_sale_rcv,ret_equity,ret_tang_equity,ret_asset,ret_invst,free_cash_flow_per_share,book_val_per_share,oper_cash_flow_per_share
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-06-2014,Q,,2014,2,2014,2,7,3.4988,,,0.6076,2.0731,37.9851,18.54,18.54,,9.535,10.9888,8003,,,,0.0495,1.0152,0.1233,730.1661,2.059,6.2354,0.4424,0.808,0.7916,13.9594,1.0099
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-09-2014,Q,,2014,3,2014,3,7,3.6328,,,0.5977,1.9726,38.5181,18.8401,18.8401,,9.9791,11.0163,13698,,,,0.0494,1.0159,0.1249,720.7148,1.9532,5.4645,0.4312,0.7858,1.3537,14.2908,1.6054
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-12-2014,Q,,2014,4,2014,4,7,1.488,,,0.5769,1.8784,-32.0048,-18.5635,-18.5635,,3.4459,26.7373,23498,,,,0.0294,1.438,0.4487,200.5745,0.8061,1.5658,0.1684,0.341,2.3212,13.6052,2.7372
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-03-2015,Q,,2015,1,2015,1,7,3.0529,,,0.6188,2.2134,28.8006,10.8655,10.8655,,6.1778,-51.7283,4961,,,,0.0425,1.0478,0.275,327.2263,-3.9839,-13.6793,-0.7566,-1.5186,0.4928,11.6414,0.6049
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-06-2015,Q,,2015,2,2015,2,7,2.5945,,,0.6105,2.1405,,,,,,,,,,,,,,,,,,,,,
ctric Company,NYSE,USD,30-06-2014,Q,,2014,2,2014,2,7,3.4988,,,0.6076,2.0731,37.9851,18.54,18.54,,9.535,10.9888,8003,,,,0.0495,1.0152,0.1233,730.1661,2.059,6.2354,0.4424,0.808,0.7916,13.9594,1.0099,,,
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-09-2014,Q,,2014,3,2014,3,7,3.6328,,,0.5977,1.9726,38.5181,18.8401,18.8401,,9.9791,11.0163,13698,,,,0.0494,1.0159,0.1249,720.7148,1.9532,5.4645,0.4312,0.7858,1.3537,14.2908,1.6054
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-12-2014,Q,,2014,4,2014,4,7,1.488,,,0.5769,1.8784,-32.0048,-18.5635,-18.5635,,3.4459,26.7373,23498,,,,0.0294,1.438,0.4487,200.5745,0.8061,1.5658,0.1684,0.341,2.3212,13.6052,2.7372
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,31-03-2015,Q,,2015,1,2015,1,7,3.0529,,,0.6188,2.2134,28.8006,10.8655,10.8655,,6.1778,-51.7283,4961,,,,0.0425,1.0478,0.275,327.2263,-3.9839,-13.6793,-0.7566,-1.5186,0.4928,11.6414,0.6049
GE,GE,GENL ELECTRIC,General Electric Company,NYSE,USD,30-06-2015,Q,,2015,2,2015,2,7,2.5945,,,0.6105,2.1405,29.6106,13.6249,13.6249,,8.9372,-4.6534,10443,,,,0.0478,1.0999,0.2955,304.5668,1.5328,4.2732,0.2968,0.5971,1.0281,11.7149,1.2192
